,0,1,2,3
Year,2024.0,2025.0,2026.0,2027.0
CO2_M$_MT,0.0,34.0,68.0,102.0
Target_MWh,192373034.07833517,196220494.75990188,200144904.65509993,204147802.7482019
Outage_MWh,0.0,0.0,0.0,0.0
Outage_M$_MWh,2035007.94136393,2035007.94136393,2035007.94136393,2035007.94136393
Iterations,0.0,310.0,362.0,316.0
Solar,,,,
Solar_MW,19202.0,20648.36477512,22197.98529835,23857.41152293
Solar_MWh,49427080.55960007,53150108.0,57138924.0,61410224.0
Solar_Capital_M$,3650.93710573,3925.93902354,4220.57328393,4536.08525027
Solar_Fixed_M$,855.86956619,920.33678798,989.40631433,1063.37008909
Solar_Variable_M$,0.0,0.0,0.0,0.0
Solar_CO2_M$,0.0,578510.66368,1243853.545472,2005252.866048
Solar_Start_Knob,0.0,0.03739348,0.03744083,0.03749114
Solar_Optimized_Knob,0.0,0.03739348,0.03744083,0.03749114
Solar_Max_Knob,1.0,0.03739348,0.03744083,0.03749114
Solar_Decadence,0.96,0.96,0.96,0.96
Solar_Avg_Cap_Factor,0.29364123,0.29364123,0.29364123,0.29364123
Wind,,,,
Wind_MW,5973.0,6751.16150181,7584.44881271,8476.36203929
Wind_MWh,19050580.54179675,21532488.0,24190216.0,27034926.0
Wind_Capital_M$,1125.83608891,1272.50983774,1429.57411483,1597.68864666
Wind_Fixed_M$,320.95624018,362.77036873,407.54665574,455.47317772
Wind_Variable_M$,0.0,0.0,0.0,0.0
Wind_CO2_M$,0.0,44493.6162888,99970.8146928,167590.7174592
Wind_Start_Knob,0.0,0.01717461,0.01738951,0.01759197
Wind_Optimized_Knob,0.0,0.01717461,0.01738951,0.01759197
Wind_Max_Knob,1.0,0.01717461,0.01738951,0.01759197
Wind_Decadence,0.96,0.96,0.96,0.96
Wind_Avg_Cap_Factor,0.36384318,0.36384318,0.36384318,0.36384318
Nuclear,,,,
Nuclear_MW,2286.0,3445.63968358,4687.53599211,6016.91760728
Nuclear_MWh,17338346.90639926,26133726.0,35512168.0,44728056.0
Nuclear_Capital_M$,2158.22079367,3253.04077542,4425.51953161,5680.59347938
Nuclear_Fixed_M$,385.14992287,580.52837198,789.76558434,1013.74249883
Nuclear_Variable_M$,906098296.5653117,1365742875.6770663,1855858292.5027277,2337478502.7032533
Nuclear_CO2_M$,0.0,62223.809088,169107.33952,319489.455936
Nuclear_Start_Knob,0.0,0.02022523,0.02047848,0.02071531
Nuclear_Optimized_Knob,0.0,0.02022523,0.02047848,0.02071531
Nuclear_Max_Knob,1.0,0.02022523,0.02047848,0.02071531
Nuclear_Decadence,0.98333333,0.98333333,0.98333333,0.98333333
Nuclear_Avg_Cap_Factor,0.86522687,0.86522687,0.86522687,0.86522687
Gas,,,,
Gas_MW,31948.0,32586.96001385,33238.69920188,33903.47319106
Gas_MWh,101536677.83542635,89442696.0,76419248.0,63408964.0
Gas_Capital_M$,3381.64436708,3449.27725589,3518.26279971,3588.62805625
Gas_Fixed_M$,972.67075738,992.12417295,1011.96665604,1032.20598931
Gas_Variable_M$,16348169971.378397,14400947134.179943,12304074362.002262,10209320351.662302
Gas_CO2_M$,0.0,6845175.936,11696946.4512,14558332.8672
Gas_Start_Knob,0.0,0.08082937,0.08011577,0.07944276
Gas_Optimized_Knob,0.0,0.02620328,0.02494624,0.02376105
Gas_Max_Knob,1.0,0.08082937,0.08011577,0.07944276
Gas_Decadence,0.97142857,0.97142857,0.97142857,0.97142857
Gas_Avg_Cap_Factor,0.36255826,0.36255826,0.36255826,0.36255826
Coal,,,,
Coal_MW,1821.0,2162.37264452,2527.92685123,2919.1989582
Coal_MWh,5020348.23511275,5961484.5,6884348.0,7565639.5
Coal_Capital_M$,911.12086995,1081.92358322,1264.82532228,1460.59477999
Coal_Fixed_M$,289.76101268,344.08088263,402.24856913,464.50853725
Coal_Variable_M$,584608521.6449752,694201777.9200001,801667193.2800002,881002080.96
Coal_CO2_M$,0.0,874968.581088,2020834.947184,3331232.353032
Coal_Start_Knob,0.0,0.00664304,0.00673519,0.00682165
Coal_Optimized_Knob,0.0,0.00664304,0.00673519,0.00682165
Coal_Max_Knob,1.0,0.00664304,0.00673519,0.00682165
Coal_Decadence,0.97142857,0.97142857,0.97142857,0.97142857
Coal_Avg_Cap_Factor,0.31450129,0.31450129,0.31450129,0.31450129
Battery,,,,
Battery_MW,0.0,3.05e-06,2.84e-06,2.65e-06
Battery_MWh,0.0,0.0,0.0,0.0
Battery_Capital_M$,0.0,7.7e-07,7.2e-07,6.7e-07
Battery_Fixed_M$,0.0,1.5e-07,1.4e-07,1.3e-07
Battery_Variable_M$,0.0,0.0,0.0,0.0
Battery_CO2_M$,0.0,0.0,0.0,0.0
Battery_Start_Knob,0.0,0.00819718,0.00819718,0.00819718
Battery_Optimized_Knob,0.0,0.0,0.0,0.0
Battery_Max_Knob,1.0,0.00819718,0.00819718,0.00819718
Battery_Decadence,0.93333333,0.93333333,0.93333333,0.93333333
Battery_Avg_Cap_Factor,0.0,0.0,0.0,0.0
